Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.028473576,0.004238957,0.050092017,0.016869652,4,2,688,300,0.000128567,
0.029354769,0.007628912,0.037599413,0.002263176,2,2,689,100,0.000185028,
0.029439068,0.003419802,0.05129606,0.018387068,4,2,357,300,0.000262009,
0.029492636,0.002098127,0.045493438,0.010862167,8,4,200,400,0.000333258,
0.02980529,0.009147899,0.038129132,0.004473878,2,2,670,200,0.000404004,
0.02990049,0.002348415,0.047723164,0.0134602,4,4,201,400,0.000389047,
0.030094507,0.009549396,0.037990031,0.008012939,2,4,319,400,0.002017271,
0.030145051,0.004839117,0.044142824,0.007722617,4,2,796,400,0.000178015,
0.030146847,0.000594739,0.045709416,0.006742045,8,4,412,400,0.0001,
0.030480915,0.000487384,0.05004748,0.016596008,8,4,389,400,0.0001,
0.030770831,0.000328185,0.051157545,0.016231014,2,4,615,400,0.0001,
0.030833408,0.000300607,0.045178817,0.006613134,8,2,449,400,0.0001,
0.030906809,0.000887873,0.080907685,0.059210727,10,2,311,400,0.000190347,
0.030932181,0.003879048,0.05681268,0.031603208,2,2,731,200,0.0001,
0.030946632,0.000416336,0.049442403,0.012939844,2,2,399,400,0.000168299,
0.03105554,0.001428658,0.053941652,0.019525107,2,4,200,300,0.000249449,
0.031056673,0.000535129,0.061793677,0.038849955,2,2,720,400,0.0001,
0.03111361,0.001654399,0.08402299,0.092663047,4,2,518,400,0.000109877,
0.03117659,0.002374255,0.043699387,0.006856352,2,4,380,100,0.0001,
0.031213514,0.003901207,0.047416512,0.014943901,2,2,800,200,0.0001,
0.031223623,0.000917693,0.06738142,0.045896172,2,2,628,400,0.0001,
0.031253495,0.001656243,0.043484776,0.005562706,2,4,200,100,0.000186276,
0.031258389,0.00151208,0.064820889,0.036427256,2,2,711,400,0.000134389,
0.031290043,0.003180931,0.043042894,0.005263027,2,4,200,100,0.000196201,
0.031455512,0.001943213,0.048410687,0.01707414,2,4,200,100,0.000201284,
0.031523635,0.003241469,0.056741756,0.027935925,2,2,698,200,0.000109549,
0.03153544,0.000838467,0.058370891,0.039675157,2,4,205,200,0.000103417,
0.031573856,0.006042592,0.040771448,0.005348465,2,4,311,400,0.000592294,
0.031735267,0.006775604,0.03428476,0.010256125,4,4,200,400,0.001633499,
0.03178233,0.003540184,0.057327947,0.025921788,2,2,213,200,0.000368944,
0.032163001,0.008202168,0.034858628,0.00238184,2,4,200,400,0.004512562,
0.032207302,0.005772787,0.041972697,0.009748417,2,4,528,400,0.000395795,
0.032848345,0.008933875,0.034394744,0.001961858,2,4,675,200,0.000814347,
0.033487262,0.005330798,0.027990199,0.001904687,4,4,200,100,0.000891056,
0.034015402,0.006694019,0.032269458,0.004424039,6,4,224,300,0.001159852,
0.034790669,0.006733995,0.028105249,0.004387128,4,2,403,200,0.001190971,
0.035418919,0.007724328,0.03662762,0.002289842,2,4,436,400,0.001323419,
0.036856082,0.007767086,0.025085001,0.002137862,4,2,458,400,0.002398825,
0.038483308,0.009957897,0.029422119,0.004437178,6,4,456,400,0.000773548,
0.039665699,0.00699391,0.027826236,0.002626852,6,4,461,100,0.000328896,
0.039921354,0.011704246,0.032351345,0.001501734,2,2,447,100,0.001980479,
0.040648327,0.008029914,0.020801163,0.001434919,4,4,318,400,0.01621972,
0.042319884,0.025494779,0.120085044,0.118156039,6,2,200,400,0.0001,
0.043897661,0.007946775,0.02681717,0.001601696,10,4,519,100,0.000231964,
0.046649095,0.018315434,0.029627196,0.008515588,6,2,543,300,0.000910507,
0.047243279,0.008878033,0.03060477,0.002028877,2,2,313,100,0.012351824,
0.048214868,0.014605412,0.031309504,0.001528764,2,4,443,200,0.006322207,
0.050877609,0.012715553,0.029004924,0.005489606,6,2,518,400,0.001586756,
0.051915259,0.01202867,0.026390373,0.004439417,10,4,486,400,0.000851298,
0.058783225,0.019544924,0.023186862,0.004231953,8,2,215,400,0.006450166,
0.064378653,0.019767812,0.021958666,0.001574235,8,2,329,100,0.000972195,
0.064640318,0.020015946,0.020077636,0.001921059,6,4,540,300,0.003201287,
0.065070862,0.067201748,0.016691251,0.000954933,6,2,430,100,0.011547256,
0.066164712,0.040894336,0.017326793,0.000548399,6,4,416,200,0.008292302,
0.066347571,0.036885992,0.017800369,0.000813268,6,2,445,300,0.013401118,
0.072930021,0.02668262,0.022038651,0.001825055,6,4,674,200,0.001003951,
0.07319881,0.035453611,0.016527916,0.001111897,8,2,503,300,0.010433027,
0.078818947,0.03670158,0.016591225,0.000901773,8,2,247,200,0.01407101,
0.082103209,0.030203985,0.01879018,0.00052018,8,4,792,100,0.000805573,
0.082748131,0.042915313,0.017658446,0.000743697,6,4,567,400,0.009559319,
0.084934533,0.029961952,0.018043036,0.000947442,8,4,614,400,0.003880969,
0.086048529,0.041546687,0.014770496,0.000925067,8,2,573,200,0.017457834,
0.087044078,0.050240856,0.016789078,0.001057271,8,2,375,300,0.010947453,
0.091631394,0.044829414,0.012690467,0.000697502,10,2,750,100,0.014816712,
0.096923616,0.047789705,0.018434936,0.001975712,8,2,352,400,0.008491412,
0.097207097,0.030050582,0.01769478,0.000811388,10,4,655,300,0.002333326,
0.114954146,0.06726313,0.013898054,0.000581327,8,4,627,100,0.008079738,
0.136917408,0.055484922,0.012912843,0.000480391,10,4,758,400,0.017546824,
