Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.074795049,0.030024148,0.017396328,0.000942675,8,4,155,236,0.01407101,
0.079239771,0.036825326,0.022412844,0.001536915,6,6,653,290,0.001003951,
0.080461127,0.036119364,0.01792339,0.001002523,6,8,352,268,0.008292302,
0.086757367,0.050495549,0.017651234,0.000334893,6,8,528,467,0.009559319,
0.096411601,0.061533722,0.016303222,0.000863569,8,4,453,453,0.010433027,
0.100371795,0.052241206,0.018027269,0.000501575,8,8,791,88,0.000805573,
0.110976343,0.107474158,0.014970175,0.0003607,8,2,535,297,0.017457834,
0.113144508,0.050510725,0.018854156,0.001199487,8,8,583,595,0.003880969,
0.114968587,0.052448365,0.017541611,0.000364151,10,6,630,323,0.002333326,
0.119178265,0.05907162,0.012900369,0.000660337,10,2,742,112,0.014816712,
0.142817459,0.107102216,0.013198828,0.000463434,8,6,598,98,0.008079738,
0.156319347,0.116670191,0.013529955,0.000294836,10,6,751,553,0.017546824,
