Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.035040167,4,4,25,150,0.01,,,,,
0.035040293,8,2,400,250,0.01,,,,,
0.035049644,4,4,50,200,0.04,,,,,
0.035050554,6,2,150,250,0.04,,,,,
0.035067383,10,2,150,300,0.004,,,,,
0.035071203,4,4,50,10,0.001,,,,,
0.035092222,6,4,25,100,0.002,,,,,
0.035092429,10,2,150,25,0.0001,,,,,
0.035092822,8,4,50,10,0.01,,,,,
0.035096498,6,2,150,150,0.1,,,,,
0.03510574,10,2,10,100,0.1,,,,,
0.035131651,10,4,25,100,0.002,,,,,
0.035152933,6,4,10,250,0.02,,,,,
0.035155979,6,2,250,25,0.02,,,,,
0.035157995,8,4,150,200,0.0004,,,,,
0.035165397,6,4,25,80,0.02,,,,,
0.0351714,4,4,100,25,0.04,,,,,
0.035183649,6,4,200,25,0.0004,,,,,
0.035193406,6,2,300,50,0.0004,,,,,
0.035193506,4,4,250,100,0.02,,,,,
0.035210241,4,2,200,80,0.01,,,,,
0.035214071,6,2,200,300,0.002,,,,,
0.035236772,8,2,100,150,0.001,,,,,
0.035260739,4,4,300,80,0.0002,,,,,
0.035267849,8,4,10,10,0.004,,,,,
0.035275849,6,4,400,200,0.002,,,,,
0.035298417,10,4,350,200,0.002,,,,,
0.035311906,4,2,350,1,0.004,,,,,
0.035313417,6,4,25,80,0.01,,,,,
0.035318474,4,4,400,200,0.1,,,,,
0.035322884,4,2,300,1,0.04,,,,,
0.03532494,4,2,10,10,0.02,,,,,
0.035325785,10,4,100,200,0.002,,,,,
0.035332046,4,4,400,300,0.02,,,,,
0.03533283,4,4,300,1,0.0002,,,,,
0.035343993,6,4,250,25,0.04,,,,,
0.035346333,8,2,350,150,0.02,,,,,
0.035362809,8,4,400,100,0.0002,,,,,
0.035367629,10,4,300,250,0.002,,,,,
0.035370242,4,2,150,50,0.02,,,,,
0.035400249,10,4,300,250,0.0004,,,,,
